image_path,label
./Lung_Opacity/images/Lung_Opacity-129.png,Lung_Opacity-129.png
./Lung_Opacity/images/Lung_Opacity-1060.png,Lung_Opacity-1060.png
./Lung_Opacity/images/Lung_Opacity-5206.png,Lung_Opacity-5206.png
./Lung_Opacity/images/Lung_Opacity-2569.png,Lung_Opacity-2569.png
./Lung_Opacity/images/Lung_Opacity-3677.png,Lung_Opacity-3677.png
./Lung_Opacity/images/Lung_Opacity-4118.png,Lung_Opacity-4118.png
./Lung_Opacity/images/Lung_Opacity-14.png,Lung_Opacity-14.png
./Lung_Opacity/images/Lung_Opacity-3111.png,Lung_Opacity-3111.png
./Lung_Opacity/images/Lung_Opacity-5560.png,Lung_Opacity-5560.png
./Lung_Opacity/images/Lung_Opacity-1706.png,Lung_Opacity-1706.png
./Lung_Opacity/images/Lung_Opacity-897.png,Lung_Opacity-897.png
./Lung_Opacity/images/Lung_Opacity-883.png,Lung_Opacity-883.png
./Lung_Opacity/images/Lung_Opacity-1712.png,Lung_Opacity-1712.png
./Lung_Opacity/images/Lung_Opacity-3105.png,Lung_Opacity-3105.png
./Lung_Opacity/images/Lung_Opacity-5574.png,Lung_Opacity-5574.png
./Lung_Opacity/images/Lung_Opacity-5212.png,Lung_Opacity-5212.png
./Lung_Opacity/images/Lung_Opacity-3663.png,Lung_Opacity-3663.png
./Lung_Opacity/images/Lung_Opacity-1074.png,Lung_Opacity-1074.png
./Lung_Opacity/images/Lung_Opacity-3893.png,Lung_Opacity-3893.png
./Lung_Opacity/images/Lung_Opacity-2555.png,Lung_Opacity-2555.png
./Lung_Opacity/images/Lung_Opacity-4124.png,Lung_Opacity-4124.png
./Lung_Opacity/images/Lung_Opacity-115.png,Lung_Opacity-115.png
./Lung_Opacity/images/Lung_Opacity-673.png,Lung_Opacity-673.png
./Lung_Opacity/images/Lung_Opacity-28.png,Lung_Opacity-28.png
./Lung_Opacity/images/Lung_Opacity-4642.png,Lung_Opacity-4642.png
./Lung_Opacity/images/Lung_Opacity-2233.png,Lung_Opacity-2233.png
./Lung_Opacity/images/Lung_Opacity-4656.png,Lung_Opacity-4656.png
./Lung_Opacity/images/Lung_Opacity-3139.png,Lung_Opacity-3139.png
./Lung_Opacity/images/Lung_Opacity-2227.png,Lung_Opacity-2227.png
./Lung_Opacity/images/Lung_Opacity-5548.png,Lung_Opacity-5548.png
./Lung_Opacity/images/Lung_Opacity-667.png,Lung_Opacity-667.png
./Lung_Opacity/images/Lung_Opacity-101.png,Lung_Opacity-101.png
./Lung_Opacity/images/Lung_Opacity-1048.png,Lung_Opacity-1048.png
./Lung_Opacity/images/Lung_Opacity-3887.png,Lung_Opacity-3887.png
./Lung_Opacity/images/Lung_Opacity-2541.png,Lung_Opacity-2541.png
./Lung_Opacity/images/Lung_Opacity-4130.png,Lung_Opacity-4130.png
./Lung_Opacity/images/Lung_Opacity-854.png,Lung_Opacity-854.png
./Lung_Opacity/images/Lung_Opacity-4865.png,Lung_Opacity-4865.png
./Lung_Opacity/images/Lung_Opacity-4871.png,Lung_Opacity-4871.png
./Lung_Opacity/images/Lung_Opacity-1909.png,Lung_Opacity-1909.png
./Lung_Opacity/images/Lung_Opacity-698.png,Lung_Opacity-698.png
./Lung_Opacity/images/Lung_Opacity-840.png,Lung_Opacity-840.png
./Lung_Opacity/images/Lung_Opacity-3878.png,Lung_Opacity-3878.png
./Lung_Opacity/images/Lung_Opacity-3688.png,Lung_Opacity-3688.png
./Lung_Opacity/images/Lung_Opacity-3850.png,Lung_Opacity-3850.png
./Lung_Opacity/images/Lung_Opacity-2596.png,Lung_Opacity-2596.png
./Lung_Opacity/images/Lung_Opacity-4859.png,Lung_Opacity-4859.png
./Lung_Opacity/images/Lung_Opacity-4681.png,Lung_Opacity-4681.png
./Lung_Opacity/images/Lung_Opacity-1921.png,Lung_Opacity-1921.png
./Lung_Opacity/images/Lung_Opacity-868.png,Lung_Opacity-868.png
./Lung_Opacity/images/Lung_Opacity-1935.png,Lung_Opacity-1935.png
./Lung_Opacity/images/Lung_Opacity-4695.png,Lung_Opacity-4695.png
./Lung_Opacity/images/Lung_Opacity-3844.png,Lung_Opacity-3844.png
./Lung_Opacity/images/Lung_Opacity-2582.png,Lung_Opacity-2582.png
./Lung_Opacity/images/Lung_Opacity-1504.png,Lung_Opacity-1504.png
./Lung_Opacity/images/Lung_Opacity-5762.png,Lung_Opacity-5762.png
./Lung_Opacity/images/Lung_Opacity-3313.png,Lung_Opacity-3313.png
./Lung_Opacity/images/Lung_Opacity-3475.png,Lung_Opacity-3475.png
./Lung_Opacity/images/Lung_Opacity-5004.png,Lung_Opacity-5004.png
./Lung_Opacity/images/Lung_Opacity-1262.png,Lung_Opacity-1262.png
./Lung_Opacity/images/Lung_Opacity-1276.png,Lung_Opacity-1276.png
./Lung_Opacity/images/Lung_Opacity-3461.png,Lung_Opacity-3461.png
./Lung_Opacity/images/Lung_Opacity-5010.png,Lung_Opacity-5010.png
./Lung_Opacity/images/Lung_Opacity-5776.png,Lung_Opacity-5776.png
./Lung_Opacity/images/Lung_Opacity-2019.png,Lung_Opacity-2019.png
./Lung_Opacity/images/Lung_Opacity-3307.png,Lung_Opacity-3307.png
./Lung_Opacity/images/Lung_Opacity-4468.png,Lung_Opacity-4468.png
./Lung_Opacity/images/Lung_Opacity-459.png,Lung_Opacity-459.png
./Lung_Opacity/images/Lung_Opacity-1510.png,Lung_Opacity-1510.png
./Lung_Opacity/images/Lung_Opacity-2031.png,Lung_Opacity-2031.png
./Lung_Opacity/images/Lung_Opacity-5986.png,Lung_Opacity-5986.png
./Lung_Opacity/images/Lung_Opacity-4440.png,Lung_Opacity-4440.png
./Lung_Opacity/images/Lung_Opacity-471.png,Lung_Opacity-471.png
./Lung_Opacity/images/Lung_Opacity-1538.png,Lung_Opacity-1538.png
./Lung_Opacity/images/Lung_Opacity-317.png,Lung_Opacity-317.png
./Lung_Opacity/images/Lung_Opacity-4326.png,Lung_Opacity-4326.png
./Lung_Opacity/images/Lung_Opacity-3449.png,Lung_Opacity-3449.png
./Lung_Opacity/images/Lung_Opacity-2757.png,Lung_Opacity-2757.png
./Lung_Opacity/images/Lung_Opacity-5038.png,Lung_Opacity-5038.png
./Lung_Opacity/images/Lung_Opacity-4332.png,Lung_Opacity-4332.png
./Lung_Opacity/images/Lung_Opacity-2743.png,Lung_Opacity-2743.png
./Lung_Opacity/images/Lung_Opacity-303.png,Lung_Opacity-303.png
./Lung_Opacity/images/Lung_Opacity-465.png,Lung_Opacity-465.png
./Lung_Opacity/images/Lung_Opacity-2025.png,Lung_Opacity-2025.png
./Lung_Opacity/images/Lung_Opacity-5992.png,Lung_Opacity-5992.png
./Lung_Opacity/images/Lung_Opacity-4454.png,Lung_Opacity-4454.png
